Job Number,Job Title,Institution,URL,payment,financial,transaction,customer,manage,trade,risk,platform,digital,technology,insurance,investment,market,bank,asset,economic,data,capital,regulatory,business,service,institution,equity,lending,user,automate,system,fund,identity,information,infrastructure,fintech,product,global,model,solution,crowdfunding,future,innovation,industry,network,contract,uncertainty,credit,development,attribute,loan,security,forum,cost,authentication,analytic,ledger,ecosystem,liquidity,intermediaries,process,legal,distributed,firm,online,experience,quantitative,loss,entity,revenue,settlement,operation,bitcoin,cloud,retail,blockchain,governance,bond,validation,share,project,cryptocurrency,wealth,fraud,venture,customization,diligence,order,algorithmic,collateral,liability,audit,framework,api,strategy,demand,developer,mobile,account,ai,license,sales,policy,tax,Is Job Fintech
14727,Manager Technico Commercial  CDD 1 an  H/F,American Express,https://jobs.americanexpress.com/jobs/19001690?lang=en-us&previousLocale=en-US,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
16796,Managing Director  Financial Crimes Risk Management  Training,Charles Schwab,https://www.schwabjobs.com/ShowJob/Id/1950268/Managing-Director -Financial-Crimes-Risk-Management -Training/,0,2,1,0,3,0,5,1,0,0,0,0,1,1,0,0,0,0,3,4,2,0,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0,1,2,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,1,0,7,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,1,0,0
17369,Managing Director  Financial Crimes Risk Management  Training,Charles Schwab,https://www.schwabjobs.com/ShowJob/Id/1950268/Managing-Director -Financial-Crimes-Risk-Management -Training/,0,2,1,0,3,0,5,1,0,0,0,0,1,1,0,0,0,0,3,4,2,0,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0,1,2,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,1,0,7,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,1,0,0
17440,Operations Specialist - PNC - Job Details,PNC Bank,https://www.indeed.com//cmp/_/job?jk=26f29258e6500f1b&tk=1d3tt4t0l52sj800,0,1,7,5,3,0,5,0,0,0,0,0,1,1,0,0,1,0,0,5,5,0,0,0,0,0,0,0,1,5,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,1,34,0,0,0,0,0
17441,Detection & Investigation Analyst Sr - PNC - Job Details,PNC Bank,https://www.indeed.com//cmp/_/job?jk=b2720e6e7110fcd5&tk=1d3tt4t0l52sj800,0,1,0,6,4,0,7,0,0,0,0,0,1,4,0,0,2,0,0,6,4,0,0,0,0,0,0,1,1,5,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,4,0,3,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,7,0,0,0,1,1,0,0,0,0,0,2,36,0,0,0,0,0
17442,Security Insider Threat Specialist - PNC - Job Details,PNC Bank,https://www.indeed.com//cmp/_/job?jk=69210161f56b822b&tk=1d3tt4t0l52sj800,0,0,0,3,4,0,4,0,0,1,0,0,1,1,0,0,4,0,0,4,2,0,0,0,0,0,3,0,1,10,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,31,0,0,0,0,0
17443,Security Insider Threat Specialist - PNC - Job Details,PNC Bank,https://www.indeed.com//cmp/_/job?jk=f3389ca102ff2494&tk=1d3tt4t0l52sj800,0,0,0,3,4,0,4,0,0,1,0,0,1,1,0,0,4,0,0,4,2,0,0,0,0,0,3,0,1,10,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,31,0,0,0,0,0
17444,Security Insider Threat Specialist - PNC - Job Details,PNC Bank,https://www.indeed.com//cmp/_/job?jk=9ab9fc4250364f74&tk=1d3tt4t0l52sj800&rd=n5r6n1S2hixwO8gpEj_fuBcDY5Ws-Xs_yuMBKiKofo91uS6Q69ktC-y-BiMHNS3ifTU3X4Uxq_eODsJbhaKG6vxZlsYClqA2a8pSwxaDhLq6pmd-dtgT8uju8HCzLVvwgfV5GJAJkobkbizNKMx_nsf6BtR1BloLfgD5NhPCfBXScQV2F40ZzDj1C0Kgmkk6EuC0tUdHsRp96lSdNO9Wphb52sTq2IzyG5S0mhJWeKLu8oQAeZ4b-J2Htq42jGelhj_dcyNoD9gw3dLqj8r07EMTQNx9xqxewfQFh2chDjLpBhU57l6E-BzU0bmKNnHoY5ebVL9lRQk4vgZN4yH-usiPW8WmnycN4NcBWmi7slLnwgo-JK_M8mRJDDQrV72YfGocluduwJQKogJoowTXprSlby1X5V2BbbIbgo1h-M-zdv3bX-bVhe6EKAdBQWROALBApE4RoxXZGlD5cuwvBmG91HbLh3g0xnkZTdQITC2ampssERW_7qP343DpvRMz06BM39ldmjK8yCJePV6YQXjaCGSdhjat64WVoFMUeBB95PHus_vRiLRHSaN4i_8Zq7NeJRjZ3OrJxaAAB0SME8b6piw3qqENq31JqXZzxbg,0,0,0,3,4,0,4,0,0,1,0,0,1,1,0,0,4,0,0,4,2,0,0,0,0,0,3,0,1,10,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,31,0,0,0,0,0
17445,Security Insider Threat Specialist - PNC - Job Details,PNC Bank,https://www.indeed.com//cmp/_/job?jk=0050db1dd0df2ac5&tk=1d3tt4t0l52sj800&rd=n5r6n1S2hixwO8gpEj_fuBcDY5Ws-Xs_yuMBKiKofo91uS6Q69ktC-y-BiMHNS3ifTU3X4Uxq_eODsJbhaKG6vxZlsYClqA2a8pSwxaDhLosiY2yn_etFzk9o7uQlW6Qh2MWhU2rLc_i8HbHg6QU3YtU7fQRIjM4s6it6J6IRbhNADZcrTOHI65UM--4mGtg05W620d-_EW1FbgLZure9Fls7c7z3Cmz5YUBBoPON2Dpft_tX8-f_U494tgemawR05dloTHl3Fhr2eZZI--o41l85np9aYoNnEVwZdpU3RDdDfIkWZw7tydCFVHlwE_cWowSzDfarFusvmP49JfkRzhh2dOxr6jiFwU4lUbpiWx-Yx6Dbff9L4RhQSXV-QtBxNESAcBitOOrV_LcEfEvqZAjf5RsOI028FRuu4THkrexj8lBWHH5XAxkAM6sZ-zz2baAD7gmpqwhh74KRGSBNqwftsVQUDBmjmCxFj36qzw8cPh5105t-_iukfMPYWKBiBDeHzfWG3i4gSCdt1qBu9doSojulben9ZItxRHfqDK8HewB_rNCZ54BoUCrLwIGq7NeJRjZ3OrJxaAAB0SME8b6piw3qqENq31JqXZzxbg,0,0,0,3,4,0,4,0,0,1,0,0,1,1,0,0,4,0,0,4,2,0,0,0,0,0,3,0,1,10,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,31,0,0,0,0,0
17446,Product Owner I - PNC - Job Details,PNC Bank,https://www.indeed.com//cmp/_/job?jk=a33a8b6b233d9a5c&tk=1d3tt4t0l52sj800,0,0,0,5,4,0,3,0,0,0,0,0,1,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,1,4,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,30,0,0,0,0,0
